Id,Retweet_count
2001,20
2002,20
2003,20
2004,20
2005,20
2006,20
2007,20
2008,20
2009,20
2010,20
2011,20
2012,20
2013,20
2014,20
2015,20
2016,20
2017,20
2018,20
2019,20
2020,20
2021,20
2022,20
2023,20
2024,20
2025,20
2026,20
2027,20
2028,20
2029,20
2030,20
2031,20
2032,20
2033,20
2034,20
2035,20
2036,20
2037,20
2038,20
2039,20
2040,20
2041,20
2042,20
2043,20
2044,20
2045,20
2046,20
2047,20
2048,20
2049,20
2050,20
2051,20
2052,20
2053,20
2054,20
2055,20
2056,20
2057,20
2058,20
2059,20
2060,20
2061,20
2062,20
2063,20
2064,20
2065,20
2066,20
2067,20
2068,20
2069,20
2070,20
2071,20
2072,20
2073,20
2074,20
2075,20
2076,20
2077,20
2078,20
2079,20
2080,20
2081,20
2082,20
2083,20
2084,20
2085,20
2086,20
2087,20
2088,20
2089,20
2090,20
2091,20
2092,20
2093,20
2094,20
2095,20
2096,20
2097,20
2098,20
2099,20
2100,20
2101,20
2102,20
2103,20
2104,20
2105,20
2106,20
2107,20
2108,20
2109,20
2110,20
2111,20
2112,20
2113,20
2114,20
2115,20
2116,20
2117,20
2118,20
2119,20
2120,20
2121,20
2122,20
2123,20
2124,20
2125,20
2126,20
2127,20
2128,20
2129,20
2130,20
2131,20
2132,20
2133,20
2134,20
2135,20
2136,20
2137,20
2138,20
2139,20
2140,20
2141,20
2142,20
2143,20
2144,20
2145,20
2146,20
2147,20
2148,20
2149,20
2150,20
2151,20
2152,20
2153,20
2154,20
2155,20
2156,20
2157,20
2158,20
2159,20
2160,20
2161,20
2162,20
2163,20
2164,20
2165,20
2166,20
2167,20
2168,20
2169,20
2170,20
2171,20
2172,20
2173,20
2174,20
2175,20
2176,20
2177,20
2178,20
2179,20
2180,20
2181,20
2182,20
2183,20
2184,20
2185,20
2186,20
2187,20
2188,20
2189,20
2190,20
2191,20
2192,20
2193,20
2194,20
2195,20
2196,20
2197,20
2198,20
2199,20
2200,20
2201,20
2202,20
2203,20
2204,20
2205,20
2206,20
2207,20
2208,20
2209,20
2210,20
2211,20
2212,20
2213,20
2214,20
2215,20
2216,20
2217,20
2218,20
2219,20
2220,20
2221,20
2222,20
2223,20
2224,20
2225,20
2226,20
2227,20
2228,20
2229,20
2230,20
2231,20
2232,20
2233,20
2234,20
2235,20
2236,20
2237,20
2238,20
2239,20
2240,20
2241,20
2242,20
2243,20
2244,20
2245,20
2246,20
2247,20
2248,20
2249,20
2250,20
2251,20
2252,20
2253,20
2254,20
2255,20
2256,20
2257,20
2258,20
2259,20
2260,20
2261,20
2262,20
2263,20
2264,20
2265,20
2266,20
2267,20
2268,20
2269,20
2270,20
2271,20
2272,20
2273,20
2274,20
2275,20
2276,20
2277,20
2278,20
2279,20
2280,20
2281,20
2282,20
2283,20
2284,20
2285,20
2286,20
2287,20
2288,20
2289,20
2290,20
2291,20
2292,20
2293,20
2294,20
2295,20
2296,20
2297,20
2298,20
2299,20
2300,20
2301,20
2302,20
2303,20
2304,20
2305,20
2306,20
2307,20
2308,20
2309,20
2310,20
2311,20
2312,20
2313,20
2314,20
2315,20
2316,20
2317,20
2318,20
2319,20
2320,20
2321,20
2322,20
2323,20
2324,20
2325,20
2326,20
2327,20
2328,20
2329,20
2330,20
2331,20
2332,20
2333,20
2334,20
2335,20
2336,20
2337,20
2338,20
2339,20
2340,20
2341,20
2342,20
2343,20
2344,20
2345,20
2346,20
2347,20
2348,20
2349,20
2350,20
2351,20
2352,20
2353,20
2354,20
2355,20
2356,20
2357,20
2358,20
2359,20
2360,20
2361,20
2362,20
2363,20
2364,20
2365,20
2366,20
2367,20
2368,20
2369,20
2370,20
2371,20
2372,20
2373,20
2374,20
2375,20
2376,20
2377,20
2378,20
2379,20
2380,20
2381,20
2382,20
2383,20
2384,20
2385,20
2386,20
2387,20
2388,20
2389,20
2390,20
2391,20
2392,20
2393,20
2394,20
2395,20
2396,20
2397,20
2398,20
2399,20
2400,20
2401,20
2402,20
2403,20
2404,20
2405,20
2406,20
2407,20
2408,20
2409,20
2410,20
2411,20
2412,20
2413,20
2414,20
2415,20
2416,20
2417,20
2418,20
2419,20
2420,20
2421,20
2422,20
2423,20
2424,20
2425,20
2426,20
2427,20
2428,20
2429,20
2430,20
2431,20
2432,20
2433,20
2434,20
2435,20
2436,20
2437,20
2438,20
2439,20
2440,20
2441,20
2442,20
2443,20
2444,20
2445,20
2446,20
2447,20
2448,20
2449,20
2450,20
2451,20
2452,20
2453,20
2454,20
2455,20
2456,20
2457,20
2458,20
2459,20
2460,20
2461,20
2462,20
2463,20
2464,20
2465,20
2466,20
2467,20
2468,20
2469,20
2470,20
2471,20
2472,20
2473,20
2474,20
2475,20
2476,20
2477,20
2478,20
2479,20
2480,20
2481,20
2482,20
2483,20
2484,20
2485,20
2486,20
2487,20
