"Id","Text","Time","Retweet_count"
1,"rt @chairmannhrc: national #humanrights commission to release pre-election rpt &amp; advisory on violence in #nigeria2015 friday, 13 feb. in ab…","2015-02-12 16:44:40",7
2,"@ayourb my ward right now. election materials/workers on time. #nigeriadecides http://t.co/vnnbbtnntw","2015-03-28 07:24:52",20
3,"inec officials just arrived at 10:30am at nepa junction polling unit in apo, abuja. #nigeriadecides","2015-03-28 09:31:35",12
4,"rt @gidi_traffic: ""@vincentwap: election will be peaceful if you do this. http://t.co/agkpezegmk #nigeriadecides #election2015 @gidi_traffic","2015-03-28 07:22:16",8
5,"rt @bisialimi: the announcement of the #nigeria election has been postponed till 8pm gmt. see you then #nigeria2015 #nigeriadecides","2015-03-30 15:17:49",7
6,"rt @aligthebaptist: 4. for our economy not to collapse in the next 24 months, oil prices must go up or corruption must come down #nigeria","2015-02-26 07:23:38",14
7,"rt @fidelismbah: journalists are beginning to ask each other if this press conference will happen after 4hr delay by @inecnigeria chair pro…","2015-02-07 20:04:31",25
8,"rt @daily_trust: was #kwara #elections a sham?

http://t.co/7pbyuflmm3 #nigeriadecides #nigeriavotes","2015-03-30 08:49:20",7
9,"at least 30 dead in boko haram raids near #chibok, #nigeria: residents - http://t.co/ekxz60m4md http://t.co/hcq6wkqnog","2015-02-20 23:00:24",8
10,"boko haram attacks on soft targets to end soon - minister - the minister of state for power, hon.... http://t.co/qtsusvfspa #news, #nigeria","2015-02-27 15:39:15",5
11,"rt @truenija: “@thisisbuhari: today, there is an outpouring of love for nigeria. we are inspired! #febuhari” we can't wait for march to #ma…","2015-02-14 19:17:29",5
12,"drama in the icc as a elder orubebe insists that inec has been compromised #nigeriadecides #nigeria2015","2015-03-31 10:33:33",11
13,"rt @ashionyeogene: #nigeria former heads of state including 2015 presidential aspirant #buhari meet with #gej in #abuja today to discuss el…","2015-02-05 12:22:33",8
14,"rt @ap_noticias: #ultimahora: testigos: boko haram mata a 39 personas durante las elecciones en #nigeria: http://t.co/dswxkdqadb","2015-03-28 23:25:14",8
15,"i really wonder why inec didn't make it that you can be accredited &amp; vote at the same time
#nigeriadecides","2015-03-28 13:35:49",19
16,"has #nigeria’s ruling party  @pdpnigeria brought ‘power to the people’? we fact-check key electoral claims: http://t.co/e0vnk731l8","2015-03-10 11:51:15",7
17,"rt @layemit: @pdpnigeria is a national party, and am a nationalist. that's why #ichoosegej #forwardnigeria #gejwins #nigeriadecides #votepd…","2015-03-27 09:32:27",6
18,"rt @belloyyyi: our observers in kano report low turnout in a lot of places. some inec officials are waiting for voters to show up. #nigeria…","2015-04-11 10:36:02",5
19,"rt @aligthebaptist: insecurity, ​c​orruption, ​b​ad ​e​conomy ​are ​​nigeria's biggest problems -buhari - premium times #nigeria #gmb15 htt…","2015-02-10 22:00:57",16
20,"rt @channelstv: #nigeria2015 only inec is empowered by law to announce results and it is an offence for anyone to preempt the comm in this …","2015-03-29 17:45:58",57
21,"rt @trafficbutter: lagos: rt @koffolaogun: @inecnigeria @channelstv #nigeria2015 ballot papers just arrive at alhaja abass ogudu at 5pm! ht…","2015-03-28 16:18:46",5
22,"rt @nigerianewsdesk: #nigeriadecides: abuja results by inec http://t.co/rg7hzxztwt via @todayngr","2015-03-30 15:37:25",16
23,"rt @claysonmonyela: he pres j zuma has congratulated the people of #nigeria for conducting a peaceful &amp; credible election as declared by ob…","2015-03-31 19:20:02",5
24,"rt @mobilepunch: @inecnigeria officials yet to arrive at most polling booths in abakaliki, capital of ebonyi state.
#nigeriadecides","2015-03-28 07:31:37",7
25,"rt @officialgidip: i admire gej's humility; people might be mocking him but his simplicity has just saved us from post-election violence. #…","2015-03-31 20:52:21",14
26,"rt @tvcnigeria: all polling booths in #borno state have been closed as inec officials say to continue voting process on sunday.#nigeriadeci…","2015-03-28 18:06:17",9
27,"#nigeriadecides: inec announced president jonathan as winner of rivers state: by azubuike azikiwe peoples demo... http://t.co/i4txtphz1t","2015-03-31 12:25:34",14
28,"inec says no fake materials at polling booths in rivers #nigeriadecides http://t.co/wzbqljgws0","2015-04-11 11:12:29",19
29,"#nigeriadecides:  nigeria 2015 presidential, national assembly elections – live updates http://t.co/vmdbycgdpx","2015-03-28 07:13:25",8
30,"rt @green_lemonnn: #nigeria new vid. of shekau emir of boko haram. simply cut every time he goes nuts. no more shekau shekaulau kau kau htt…","2015-02-17 21:32:21",7
31,"rt @channelstv: the reason why you have violence is because, the state itself, cannot monopolise the instruments of violence #tunjilardner …","2015-03-02 19:25:23",7
32,"rt @dorisijhenshaw: with all these news of voter intimidation n rigging,1 international observer will still report the election ""free and f…","2015-04-11 18:25:53",7
33,"rt @contactsalkida: twitter exclusive: a security source; ""if #nigeria undermines #chad/#cameroun #france will have no optn but enter d ne …","2015-02-04 10:52:44",48
34,"pdp wins 2, apc 1 state assembly election in gombe http://t.co/dip8ixghuc #nigeria #naija #africa","2015-04-12 11:34:59",5
35,"#nigeriadecides oyo: ibadan north - apc: 30,312; pdp: 15,946
ogbomoso south - apc: 5,984; pdp: 15,521...http://t.co/wft0sf5dv3","2015-03-30 06:12:07",28
36,"el reinado del terror del grupo terrorista boko haram en #nigeria contada por los supervivientes. http://t.co/9aqxyh7oqw","2015-04-14 09:29:47",8
37,"rt @tonyoelumelu: congratulations to our president elect general mohammadu buhari @thisisbuhari for his tenacity #nigeriadecides","2015-03-31 21:48:55",129
38,"ejército de #nigeria rescata a 200 niñas y 93 mujeres. se investiga si son las menores secuestradas por boko haram http://t.co/sajymx0fbi","2015-04-28 21:31:01",9
39,"rt @mah_your_wah: : result of the presidential election after 15 states:
apc- 7,896,771
pdp- 4,057,803
#nigeriadecides”","2015-03-30 21:04:37",7
40,"rt @aliyutanko: joint uk &amp; us statement on the nigerian elections""so far, we have seen no evidence of systemic manipulation of the process.…","2015-03-30 12:26:13",6
41,"rt @ecopoliticsng: rumours of david mark losing is a recurrent story in every election. people always wish him to lose. @eggheader  #nigeri…","2015-03-30 08:47:16",7
42,"no inec official is leaving this place - asari dokubo rants as he fails to get accredited http://t.co/mtoj6he3c5  #nigeriadecides","2015-03-28 19:50:27",19
43,"rt @schneiderhome: on my way to election monitors' press briefings. #nigeriadecides","2015-03-30 10:19:31",10
44,"rt @mrayedee: glad buhari has been found and returned to nigeria. alas, only people who think he's about to win an election are apc folks #…","2015-03-06 08:05:34",19
45,"#nigeria2015 : election continues tomorrow – inec http://t.co/cscskdyznv","2015-03-28 16:34:34",5
46,"rt @tvc_ent: the card reader for unit 034, ebute metta in lagos has not been functional, inec officials trying to rectify the glitch #niger…","2015-04-11 11:06:46",5
47,"rt @thenigtimes: breaking: #nigeria army rescues 200 girls, 93 women from sambisa forest | http://t.co/nfossigjd6 #bringbackourgirls","2015-04-28 19:52:34",5
